nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Gingisona B Menta Fresh 3 MG Pastilla para Chupar SOBRE 1 SOBRE,"3,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072405X.jpg,/producto/gingisona-b-menta-fresh-3-mg-pastilla-para-chupar/072405,salud,http://mifarma.com.pe,mifarma
Birm 40Mg Cápsula FRASCO 90 UN,"175,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073760X.jpg,/producto/birm-40mg-capsula/073760,salud,http://mifarma.com.pe,mifarma
Glenmark Bilazap 20Mg Tableta CAJA 20 UN,"82,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073970X.jpg,/producto/glenmark-bilazap-20mg-tableta/073970,salud,http://mifarma.com.pe,mifarma
Nastizol Nf 30mg+2mg/5mL Solución oral FRASCO 100 ML,"41,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073965X.jpg,/producto/nastizol-nf-30mg-2mg-5ml-Solucion-oral/073965,salud,http://mifarma.com.pe,mifarma
Marimer Seawater Spray - Hypertonic FRASCO 100 ML,"75,70","67,00",,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/023974X.jpg,/producto/marimer-seawater-spray-hypertonic/023974,salud,http://mifarma.com.pe,mifarma
Codipront F. Cápsula CAJA 10 UN,"62,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073943X.jpg,/producto/codipront-f-capsula/073943,salud,http://mifarma.com.pe,mifarma
Rhino-Dazol Plus 1Mg/Ml Solución Nasal FRASCO 15 ML,"27,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074067X.jpg,/producto/rhino-dazol-plus-1mg-ml-solucion-nasal/074067,salud,http://mifarma.com.pe,mifarma
Biobroncol® S 250Mg/5Ml Polvo Para Solución Oral FRASCO 75 ML,"29,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073529X.jpg,/producto/biobroncol-s-250mg-5ml-polvo-para-solucion-oral/073529,salud,http://mifarma.com.pe,mifarma
Velamox 250 Amoxicilina 250mg/5mL Polvo para Suspensión Oral FRASCO 60 ML,"34,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/214343X.jpg,/producto/amoxitrim-250mg-5ml-susp/214343,salud,http://mifarma.com.pe,mifarma
Rhino-Clo FRASCO 15 ML,"8,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/072730X.jpg,/producto/rhino-clo-solo-en-el-nombre-solucion-gotas-nasales/072730,salud,http://mifarma.com.pe,mifarma
